venue_id, venue_name                                                    , city,,
1, Melbourne Cricket Ground                                      , ,,
2," ""Simonds Stadium"," South Geelong""                              ", Victoria,
3, Adelaide Oval                                                 , ,,
4," ""Bready Cricket Club"," Magheramason""                           ", Londonderry,
5, Harare Sports Club                                            , ,,
6, McLean Park                                                   , Napier,,
7, Bay Oval                                                      , Mount Maunganui,,
8, Eden Park                                                     , Auckland,,
9, The Rose Bowl                                                 , Southampton,,
10, County Ground                                                 , Taunton,,
11, Sophia Gardens                                                , Cardiff,,
12, Riverside Ground                                              , Chester-le-Street,,
13, Green Park                                                    , Kanpur,,
14," ""Vidarbha Cricket Association Stadium"," Jamtha""                ", Nagpur,
15, M Chinnaswamy Stadium                                         , Bangalore,,
16, Central Broward Regional Park Stadium Turf Ground             , Lauderhill,,
17, Dubai International Cricket Stadium                           , ,,
18, Sheikh Zayed Stadium                                          , Abu Dhabi,,
19, Sydney Cricket Ground                                         , ,,
20, Bellerive Oval                                                , Hobart,,
21, Westpac Stadium                                               , Wellington,,
22, Seddon Park                                                   , Hamilton,,
23, Mangaung Oval                                                 , Bloemfontein,,
24, Senwes Park                                                   , Potchefstroom,,
25," ""Kensington Oval"," Bridgetown""                                 ", Barbados,
26," ""Queen's Park Oval"," Port of Spain""                            ", Trinidad,
27, R Premadasa Stadium                                           , Colombo,,
28," ""Sabina Park"," Kingston""                                       ", Jamaica,
29," ""R.Premadasa Stadium"," Khettarama""                             ", Colombo,
30, Saxton Oval                                                   , Nelson,,
31, Gaddafi Stadium                                               , Lahore,,
32, JSCA International Stadium Complex                            , Ranchi,,
33, Barsapara Cricket Stadium                                     , Guwahati,,
34, Edgbaston                                                     , Birmingham,,
35, Old Trafford                                                  , Manchester,,
36, Arun Jaitley Stadium                                          , Delhi,,
37, Saurashtra Cricket Association Stadium                        , Rajkot,,
38, Greenfield International Stadium                              , Thiruvananthapuram,,
39, The Wanderers Stadium                                         , Johannesburg,,
40, SuperSport Park                                               , Centurion,,
41, Newlands                                                      , Cape Town,,
42, Barabati Stadium                                              , Cuttack,,
43, Holkar Cricket Stadium                                        , Indore,,
44, Wankhede Stadium                                              , Mumbai,,
45," ""Grange Cricket Club"," Raeburn Place""                          ", Edinburgh,
46," ""Shere Bangla National Stadium"," Mirpur""                       ", Dhaka,
47, Sylhet International Cricket Stadium                          , ,,
48, National Stadium                                              , Karachi,,
49," ""The Village"," Malahide""                                       ", Dublin,
50, Lord's                                                        , London,,
51, Hazelaarweg                                                   , Rotterdam,,
52, Sportpark Het Schootsveld                                     , Deventer,,
53, VRA Ground                                                    , Amstelveen,,
54, Buffalo Park                                                  , East London,,
55, Carrara Oval                                                  , ,,
56," ""Brisbane Cricket Ground"," Woolloongabba""                      ", Brisbane,
57," ""Warner Park"," Basseterre""                                     ", St Kitts,
58, Eden Gardens                                                  , Kolkata,,
59, Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium  , Lucknow,,
60," ""MA Chidambaram Stadium"," Chepauk""                             ", Chennai,
61," ""Darren Sammy National Cricket Stadium"," St Lucia""             ", Gros Islet,
62," ""Warner Park"," St Kitts""                                       ", Basseterre,
63, Tolerance Oval                                                , Abu Dhabi,,
64, Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium           , Visakhapatnam,,
