batter_id, bowler_id, batter_team_id, bowler_team_id, runs_scored_in_inning, balls_played_in_inning, fours_in_inning, sixes_in_inning, out
1,20,14,4,18,24,3,0,1
2,20,14,4,14,16,0,0,0
2,21,14,4,32,20,4,0,0
1,21,14,4,37,24,5,1,1
2,19,14,4,32,22,5,0,1
1,19,14,4,10,8,1,0,1
1,18,14,4,30,19,2,2,1
2,18,14,4,23,26,2,0,0
1,22,14,4,20,18,2,0,1
2,22,14,4,6,7,0,0,1
3,22,14,4,6,6,0,0,0
1,15,14,4,8,3,0,1,1
3,15,14,4,2,2,0,0,0
4,15,14,4,12,8,0,1,0
3,18,14,4,2,4,0,0,0
4,18,14,4,13,14,0,0,0
4,20,14,4,22,15,2,0,0
3,20,14,4,28,14,1,2,2
4,22,14,4,12,3,0,1,0
4,19,14,4,11,6,0,1,1
3,19,14,4,11,5,0,1,0
5,19,14,4,3,2,0,0,0
5,20,14,4,14,12,1,0,2
3,21,14,4,12,11,0,0,1
5,21,14,4,6,6,0,0,0
6,20,14,4,2,3,0,0,1
6,21,14,4,13,6,2,0,0
12,8,4,14,26,16,5,0,1
13,8,4,14,2,5,0,0,1
12,10,4,14,14,8,2,1,0
14,8,4,14,10,6,1,0,0
14,10,4,14,14,5,3,0,0
14,6,4,14,6,6,1,0,0
12,6,4,14,0,3,0,0,1
14,11,4,14,17,8,2,1,1
14,9,4,14,8,12,0,0,1
12,9,4,14,6,5,1,0,1
14,5,4,14,8,8,0,0,0
12,5,4,14,3,4,0,0,0
15,9,4,14,6,8,0,0,1
15,10,4,14,6,5,0,0,0
16,9,4,14,20,14,0,1,0
15,6,4,14,21,17,2,0,0
16,6,4,14,6,7,0,0,1
15,11,4,14,33,15,5,1,0
16,11,4,14,4,3,1,0,1
15,8,4,14,19,14,3,0,0
16,8,4,14,7,5,1,0,0
15,5,4,14,0,2,0,0,1
17,5,4,14,11,6,2,0,0
16,5,4,14,0,1,0,0,1
18,5,4,14,5,3,1,0,0
18,6,4,14,14,14,2,0,3
17,6,4,14,30,15,4,1,0
18,11,4,14,1,3,0,0,0
17,11,4,14,11,9,1,0,0
23,19,14,4,24,14,2,2,0
23,21,14,4,4,2,1,0,0
23,14,14,4,22,6,1,3,0
2,15,14,4,22,13,0,2,0
23,15,14,4,3,4,0,0,1
4,21,14,4,5,4,0,0,0
5,18,14,4,5,4,0,0,1
7,19,14,4,7,3,1,0,0
7,20,14,4,0,1,0,0,1
8,20,14,4,3,2,0,0,0
8,21,14,4,0,1,0,0,1
11,21,14,4,0,2,0,0,1
24,21,14,4,0,1,0,0,1
13,5,4,14,8,8,2,0,1
25,6,4,14,14,14,0,1,0
25,24,4,14,24,28,2,1,3
15,24,4,14,21,11,2,1,0
17,24,4,14,2,4,0,0,0
15,4,4,14,30,14,1,3,0
17,4,4,14,9,11,0,0,0
17,8,4,14,6,7,1,0,1
18,8,4,14,3,4,0,0,0
18,24,4,14,1,2,0,0,0
18,4,4,14,1,4,0,0,0
21,6,4,14,12,8,2,0,0
21,11,4,14,1,3,0,0,1
20,11,4,14,1,1,0,0,0
1,16,14,4,11,5,0,1,0
2,16,14,4,1,1,0,0,0
23,18,14,4,1,1,0,0,0
23,26,14,4,6,8,1,0,1
2,26,14,4,13,7,1,0,0
3,26,14,4,4,3,0,0,0
6,26,14,4,2,2,0,0,1
4,26,14,4,1,2,0,0,0
7,26,14,4,1,2,0,0,0
14,24,4,14,19,7,1,2,0
13,24,4,14,2,1,0,0,0
13,6,4,14,6,4,0,1,1
25,5,4,14,6,4,1,0,0
25,4,4,14,16,8,2,1,1
14,4,4,14,9,5,2,0,0
25,9,4,14,28,22,3,0,1
14,3,4,14,0,1,0,0,1
15,3,4,14,4,2,0,0,0
16,3,4,14,5,6,0,0,0
17,9,4,14,13,16,0,1,2
17,3,4,14,6,3,1,0,0
26,9,4,14,29,31,0,2,2
18,9,4,14,5,2,1,0,0
21,24,4,14,6,3,1,0,0
16,24,4,14,8,3,0,1,0
20,6,4,14,1,1,0,0,0
20,8,4,14,8,10,1,0,0
21,8,4,14,1,1,0,0,0
19,8,4,14,5,3,1,0,0
27,47,54,11,2,4,0,0,0
28,47,54,11,3,8,0,0,0
27,48,54,11,32,14,2,3,0
28,48,54,11,2,3,0,0,1
27,42,54,11,22,11,4,0,1
29,48,54,11,23,7,1,2,0
27,44,54,11,12,9,2,0,0
27,46,54,11,13,13,0,1,1
29,46,54,11,10,7,1,0,0
29,44,54,11,8,10,0,0,0
29,42,54,11,5,5,0,0,1
30,46,54,11,0,2,0,0,0
29,47,54,11,4,3,0,0,0
30,47,54,11,6,3,1,0,0
30,44,54,11,0,1,0,0,1
31,44,54,11,2,4,0,0,0
31,48,54,11,9,7,0,1,0
31,46,54,11,1,2,0,0,0
31,42,54,11,14,7,2,0,0
32,42,54,11,13,8,0,1,0
32,47,54,11,5,4,1,0,0
31,47,54,11,3,2,0,0,0
33,48,54,11,1,1,0,0,0
33,42,54,11,1,3,0,0,0
38,32,11,54,10,12,1,0,0
39,32,11,54,8,12,0,1,1
38,36,11,54,8,8,1,0,1
40,36,11,54,1,3,0,0,0
40,32,11,54,3,3,0,0,1
41,32,11,54,0,1,0,0,0
39,36,11,54,7,5,1,0,0
41,36,11,54,0,1,0,0,0
41,28,11,54,0,2,0,0,1
43,28,11,54,6,6,1,0,1
42,28,11,54,1,1,0,0,0
42,32,11,54,1,4,0,0,0
43,32,11,54,2,2,0,0,0
43,35,11,54,7,5,1,0,0
42,35,11,54,5,2,1,0,0
42,31,11,54,24,18,3,0,1
43,31,11,54,5,8,0,0,0
42,36,11,54,8,4,0,1,0
43,36,11,54,6,4,1,0,0
42,34,11,54,7,4,1,0,0
43,34,11,54,18,7,4,0,0
44,31,11,54,10,7,1,0,0
44,34,11,54,0,1,0,0,0
44,36,11,54,0,1,0,0,1
45,36,11,54,1,3,0,0,0
45,28,11,54,2,3,0,0,0
45,34,11,54,1,3,0,0,1
46,34,11,54,1,2,0,0,0
47,34,11,54,0,3,0,0,1
46,28,11,54,0,3,0,0,1
48,28,11,54,1,3,0,0,0
48,34,11,54,1,1,0,0,0
60,58,82,47,7,9,1,0,0
61,58,82,47,13,6,0,2,0
61,56,82,47,11,5,1,1,0
60,56,82,47,8,5,1,0,1
60,57,82,47,5,5,1,0,0
61,57,82,47,2,9,0,0,1
62,57,82,47,0,3,0,0,0
62,58,82,47,0,1,0,0,0
63,58,82,47,2,2,0,0,0
63,56,82,47,12,8,2,0,0
63,55,82,47,24,18,2,0,1
64,55,82,47,15,21,1,0,0
64,56,82,47,10,6,2,0,0
64,59,82,47,24,18,2,0,2
63,59,82,47,3,4,0,0,0
65,59,82,47,2,4,0,0,0
65,55,82,47,1,4,0,0,1
66,55,82,47,13,18,1,0,1
66,59,82,47,20,18,0,3,0
67,55,82,47,4,5,0,0,0
67,59,82,47,2,2,0,0,0
67,57,82,47,4,5,0,0,1
66,57,82,47,24,19,1,2,1
68,57,82,47,5,6,0,0,1
68,58,82,47,1,1,0,0,0
66,58,82,47,18,5,1,2,0
49,70,47,82,6,16,0,0,1
51,70,47,82,11,10,2,0,0
50,68,47,82,31,21,6,0,0
50,70,47,82,11,16,1,0,1
51,68,47,82,0,3,0,0,0
51,69,47,82,9,4,2,0,0
50,69,47,82,3,3,0,0,0
50,60,47,82,22,14,2,1,1
51,60,47,82,13,18,1,0,1
52,60,47,82,1,2,0,0,0
50,63,47,82,10,9,1,0,0
52,63,47,82,5,9,0,0,0
53,60,47,82,6,9,0,0,0
53,63,47,82,11,6,0,1,0
52,67,47,82,36,27,0,4,1
53,67,47,82,34,25,5,0,0
52,69,47,82,7,7,0,0,1
53,69,47,82,0,1,0,0,1
54,69,47,82,9,8,1,0,0
52,68,47,82,6,4,1,0,0
54,68,47,82,13,11,1,0,0
54,70,47,82,3,5,0,0,1
52,70,47,82,4,4,0,0,0
55,69,47,82,6,5,0,1,1
55,70,47,82,17,10,1,1,0
55,68,47,82,14,6,0,1,1
56,68,47,82,1,2,0,0,0
60,72,82,47,5,15,1,0,2
61,72,82,47,7,10,1,0,1
60,71,82,47,10,6,2,0,0
61,71,82,47,9,11,2,0,0
73,71,82,47,10,8,1,0,0
73,72,82,47,1,2,0,0,0
63,72,82,47,1,2,0,0,1
65,72,82,47,0,1,0,0,1
64,71,82,47,1,6,0,0,1
73,55,82,47,18,15,1,1,0
73,59,82,47,27,22,0,3,1
64,57,82,47,4,7,0,0,0
73,57,82,47,1,6,0,0,1
70,57,82,47,2,6,0,0,0
70,72,82,47,1,5,0,0,0
67,72,82,47,0,1,0,0,0
70,71,82,47,8,3,0,1,0
67,71,82,47,0,1,0,0,1
69,71,82,47,0,2,0,0,0
49,68,47,82,8,6,1,0,1
49,69,47,82,15,11,2,0,0
49,67,47,82,13,9,0,1,0
50,67,47,82,9,9,1,0,0
49,60,47,82,11,6,0,1,0
49,63,47,82,11,9,0,1,1
49,76,47,82,25,18,3,1,0
50,76,47,82,1,1,0,0,0
51,67,47,82,6,7,0,0,1
54,67,47,82,2,1,0,0,0
53,68,47,82,12,11,1,0,0
53,76,47,82,16,6,2,1,0
54,76,47,82,1,5,0,0,0
53,70,47,82,8,5,1,0,1
55,76,47,82,1,1,0,0,0
71,68,47,82,1,1,0,0,0
74,72,82,47,6,6,1,0,0
74,71,82,47,13,6,3,0,1
74,57,82,47,1,1,0,0,0
74,55,82,47,2,6,0,0,0
61,55,82,47,10,13,1,0,2
74,59,82,47,6,4,1,0,0
61,59,82,47,2,2,0,0,0
