match_id, team_id, inning, total_score, wickets, 50_in_balls, 100_in_balls,id
1,14,1,168,6,40,84,1
1,4,2,172,5,26,74,2
2,14,1,173,10,34,68,3
2,4,2,176,8,41,80,4
3,14,1,187,6,29,66,5
3,4,2,146,10,30,79,6
4,54,1,169,5,30,74,7
4,11,2,129,10,51,81,8
5,82,1,170,6,41,84,9
5,47,2,168,6,43,81,10
6,82,1,99,9,58,0,11
6,47,2,103,0,46,79,12
7,47,1,138,6,55,103,13
7,82,2,135,6,47,99,14
8,66,1,141,8,49,95,15
8,24,2,143,4,46,86,16
9,24,1,195,7,37,69,17
9,66,2,148,10,38,63,18
10,24,1,194,4,54,81,19
10,66,2,167,6,30,73,20
11,10,1,185,6,34,63,21
11,24,2,107,10,47,84,22
12,10,1,142,3,45,95,23
12,64,2,143,1,28,63,24
13,10,1,174,8,39,72,25
13,64,2,171,6,35,65,26
14,64,1,181,8,41,67,27
14,10,2,162,7,46,86,28
15,28,1,176,9,30,55,29
15,64,2,155,10,24,70,30
16,47,1,147,7,38,82,31
16,64,2,148,3,38,75,32
17,47,1,144,8,40,82,33
17,64,2,139,6,49,89,34
18,47,1,202,6,35,73,35
18,64,2,127,10,34,69,36
19,28,1,245,6,25,46,37
19,47,2,244,4,29,51,38
20,28,1,143,10,30,80,39
20,47,2,15,0,0,0,40
21,28,1,115,10,75,106,41
21,80,2,116,1,52,81,42
22,80,1,160,4,44,84,43
22,28,2,144,9,65,100,44
23,28,1,103,5,64,117,45
23,80,2,108,2,49,88,46
24,24,1,117,9,61,108,47
24,14,2,96,3,38,0,48
25,64,1,155,9,30,66,49
25,14,2,161,5,33,73,50
26,64,1,137,7,44,98,51
26,14,2,138,3,31,65,52
27,24,1,196,5,36,67,53
27,64,2,184,9,30,69,54
28,24,1,243,6,28,56,55
28,14,2,245,5,24,43,56
29,64,1,194,7,40,64,57
29,24,2,192,4,26,66,58
30,24,1,150,9,29,72,59
30,14,2,121,3,33,78,60
31,49,1,189,3,39,73,61
31,54,2,165,6,50,86,62
32,42,1,146,7,48,97,63
32,62,2,148,5,42,90,64
33,54,1,87,10,64,0,65
33,42,2,89,3,44,0,66
34,49,1,148,7,58,92,67
34,62,2,141,10,31,82,68
35,11,1,160,6,45,78,69
35,19,2,136,7,50,106,70
36,54,1,183,4,24,77,71
36,62,2,92,10,51,0,72
37,42,1,133,10,59,99,73
37,49,2,134,3,53,92,74
38,11,1,211,6,28,59,75
38,49,2,113,10,31,78,76
39,10,1,195,4,32,64,77
39,66,2,175,9,30,65,78
40,10,1,224,4,43,75,79
40,66,2,141,10,38,79,80
41,28,1,111,8,68,110,81
41,80,2,115,4,54,96,82
42,80,1,132,10,62,104,83
42,28,2,129,8,47,99,84
43,66,1,155,6,27,84,85
43,4,2,158,4,35,71,86
44,66,1,176,9,29,59,87
44,4,2,131,10,41,80,88
45,80,1,137,8,43,87,89
45,28,2,138,3,37,74,90
46,28,1,124,8,41,103,91
46,80,2,127,3,48,89,92
47,9,1,102,10,67,107,93
47,19,2,108,5,35,83,94
48,19,1,180,3,38,80,95
48,9,2,150,10,26,73,96
49,9,1,128,5,44,97,97
49,19,2,130,5,42,87,98
50,47,1,190,6,28,65,99
50,28,2,194,1,28,61,100
51,4,1,170,7,31,69,101
51,47,2,174,3,43,69,102
52,24,1,187,7,46,75,103
52,28,2,140,10,45,90,104
53,24,1,102,4,27,54,105
54,24,1,243,5,26,56,106
54,28,2,124,9,30,74,107
55,80,1,105,10,75,117,108
55,24,2,106,3,56,94,109
56,80,1,201,4,33,66,110
56,24,2,153,10,38,76,111
57,80,1,181,6,38,77,112
