team_id, team_name
      1, Panama
      2, Saudi Arabia
      3, Argentina
      4, Sri Lanka
      5, Seychelles
      6, Chile
      7, Botswana
      8, South Korea
      9, Papua New Guinea
     10, South Africa
     11, Ireland
     12, France
     13, Eswatini
     14, Australia
     15, Croatia
     16, Switzerland
     17, United States of America
     18, Cyprus
     19, United Arab Emirates
     20, Greece
     21, Nigeria
     22, Malta
     23, Belgium
     24, New Zealand
     25, Philippines
     26, Bahamas
     27, Indonesia
     28, West Indies
     29, Bhutan
     30, Israel
     31, ICC World XI
     32, Japan
     33, Isle of Man
     34, Nepal
     35, Bulgaria
     36, Gibraltar
     37, Slovenia
     38, Portugal
     39, Cook Islands
     40, Thailand
     41, Malawi
     42, Oman
     43, Uganda
     44, Cameroon
     45, Mozambique
     46, Kuwait
     47, India
     48, Canada
     49, Scotland
     50, Swaziland
     51, Qatar
     52, Bermuda
     53, Germany
     54, Hong Kong
     55, Cayman Islands
     56, Turkey
     57, Rwanda
     58, Samoa
     59, Kenya
     60, Brazil
     61, Namibia
     62, Netherlands
     63, Malaysia
     64, England
     65, Lesotho
     66, Bangladesh
     67, St Helena
     68, Cambodia
     69, Romania
     70, Norway
     71, Maldives
     72, Suriname
     73, Iran
     74, Ivory Coast
     75, Estonia
     76, Guernsey
     77, Gambia
     78, Bahrain
     79, Belize
     80, Pakistan
     81, Myanmar
     82, Zimbabwe
     83, Fiji
     84, Hungary
     85, Denmark
     86, Spain
     87, Sierra Leone
     88, Tanzania
     89, Ghana
     90, Singapore
     91, China
     92, Serbia
     93, Sweden
     94, Mali
     95, Vanuatu
     96, Finland
     97, Costa Rica
     98, Luxembourg
     99, Italy
    100, Jersey
    101, Mongolia
    102, Mexico
    103, Austria
    104, Czech Republic
