match_id, batter                       , bowler                , batter_team_id, bowler_team_id, wicket_kind          , fielder,
1, M Klinger                    , PADLR Sandakan        ,14,4, caught               , ['SL Malinga'],
1, AJ Finch                     , DAS Gunaratne         ,14,4, caught               , ['SL Malinga'],
1, MC Henriques                 , JRMVB Sanjaya         ,14,4, caught               , ['CK Kapugedera'],
1, TM Head                      , SL Malinga            ,14,4, caught               , ['S Prasanna'],
1, AJ Turner                    , SL Malinga            ,14,4, caught               , ['S Prasanna'],
1, TD Paine                     , KMDN Kulasekara       ,14,4, run out              ," ""['CK Kapugedera'"," 'KMDN Kulasekara']"""
1, WU Tharanga                  , PJ Cummins            ,4,14, caught               , ['TD Paine'],
1, N Dickwella                  , A Zampa               ,4,14, caught               , ['M Klinger'],
1, EMDY Munaweera               , A Zampa               ,4,14, caught               , ['AJ Finch'],
1, DAS Gunaratne                , AJ Turner             ,4,14, stumped              , ['TD Paine'],
1, TAM Siriwardana              , AJ Turner             ,4,14, lbw                  , ,
2, AJ Finch                     , JRMVB Sanjaya         ,14,4, caught and bowled    , ,
2, BR Dunk                      , DAS Gunaratne         ,14,4, bowled               , ,
2, M Klinger                    , JRMVB Sanjaya         ,14,4, caught               , ['N Dickwella'],
2, TM Head                      , KMDN Kulasekara       ,14,4, caught               , ['N Dickwella'],
2, AJ Turner                    , S Prasanna            ,14,4, caught               , ['TAM Siriwardana'],
2, JP Faulkner                  , SL Malinga            ,14,4, lbw                  , ,
2, TD Paine                     , SL Malinga            ,14,4, lbw                  , ,
2, PJ Cummins                   , KMDN Kulasekara       ,14,4, bowled               , ,
2, AJ Tye                       , KMDN Kulasekara       ,14,4, lbw                  , ,
2, JA Richardson                , KMDN Kulasekara       ,14,4, bowled               , ,
2, WU Tharanga                  , AJ Turner             ,4,14, caught               , ['JA Richardson'],
2, N Dickwella                  , JP Faulkner           ,4,14, caught               , ['TD Paine'],
2, BKG Mendis                   , JA Richardson         ,4,14, caught               , ['TD Paine'],
2, EMDY Munaweera               , AJ Tye                ,4,14, caught               , ['TD Paine'],
2, TAM Siriwardana              , AJ Tye                ,4,14, caught               , ['AJ Turner'],
2, CK Kapugedera                , PJ Cummins            ,4,14, caught               , ['BR Dunk'],
2, S Prasanna                   , JP Faulkner           ,4,14, caught               , ['TM Head'],
2, KMDN Kulasekara              , AJ Tye                ,4,14, caught               , ['M Klinger'],
3, AJ Finch                     , S Prasanna            ,14,4, caught               , ['TAM Siriwardana'],
3, BR Dunk                      , MD Shanaka            ,14,4, caught               , ['S Prasanna'],
3, TM Head                      , SL Malinga            ,14,4, caught               , ['CK Kapugedera'],
3, M Klinger                    , SL Malinga            ,14,4, run out              ," ""['MD Shanaka'"," 'BKG Mendis']"""
3, AJ Turner                    , SL Malinga            ,14,4, caught               , ['CK Kapugedera'],
3, JP Faulkner                  , MD Shanaka            ,14,4, caught               , ['CK Kapugedera'],
3, WU Tharanga                  , JP Faulkner           ,4,14, caught               , ['JA Richardson'],
3, BKG Mendis                   , JA Richardson         ,4,14, caught               , ['PJ Cummins'],
3, EMDY Munaweera               , TM Head               ,4,14, caught               , ['AJ Turner'],
3, DAS Gunaratne                , A Zampa               ,4,14, lbw                  , ,
3, CK Kapugedera                , A Zampa               ,4,14, bowled               , ,
3, MD Shanaka                   , A Zampa               ,4,14, lbw                  , ,
3, S Prasanna                   , JP Faulkner           ,4,14, caught               , ['JA Richardson'],
3, TAM Siriwardana              , JP Faulkner           ,4,14, caught and bowled    , ,
3, SL Malinga                   , PJ Cummins            ,4,14, run out              , ['AJ Finch'],
3, JRMVB Sanjaya                , PJ Cummins            ,4,14, run out              ," ""['TD Paine'"," 'BR Dunk']"""
4, Aizaz Khan                   , CA Young              ,54,11, caught               , ['SP Terry'],
4, Nizakat Khan                 , J Mulder              ,54,11, caught               , ['WTS Porterfield'],
4, Anshuman Rath                , AR McBrine            ,54,11, bowled               , ,
4, Babar Hayat                  , KJ O'Brien            ,54,11, caught               , ['CA Young'],
4, Tanwir Afzal                 , CA Young              ,54,11, run out              , ['GJ Thompson'],
4, WTS Porterfield              , Nadeem Ahmed          ,11,54, caught               , ['Tanwir Afzal'],
4, SP Terry                     , Tanwir Afzal          ,11,54, bowled               , ,
4, DA Rankin                    , Tanwir Afzal          ,11,54, bowled               , ,
4, JNK Shannon                  , Aizaz Khan            ,11,54, caught               , ['Nadeem Ahmed'],
4, KJ O'Brien                   , Ehsan Khan            ,11,54, caught               , ['Tanveer Ahmed'],
4, AR McBrine                   , Nadeem Ahmed          ,11,54, stumped              , ['C Carter'],
4, GJ Thompson                  , Aizaz Khan            ,11,54, caught               , ['Nadeem Ahmed'],
4, L Tucker                     , Tanveer Ahmed         ,11,54, bowled               , ,
4, J Mulder                     , Aizaz Khan            ,11,54, bowled               , ,
4, J Little                     , Tanveer Ahmed         ,11,54, bowled               , ,
5, H Masakadza                  , JJ Bumrah             ,82,47, caught               , ['MS Dhoni'],
5, CJ Chibhabha                 , R Dhawan              ,82,47, bowled               , ,
5, MN Waller                    , YS Chahal             ,82,47, bowled               , ,
5, Sikandar Raza                , AR Patel              ,82,47, run out              ," ""['MK Pandey'"," 'AR Patel']"""
5, CT Mutombodzi                , AR Patel              ,82,47, caught               , ['R Dhawan'],
5, AG Cremer                    , JJ Bumrah             ,82,47, caught               , ['R Dhawan'],
5, KL Rahul                     , DT Tiripano           ,47,82, bowled               , ,
5, AT Rayudu                    , CJ Chibhabha          ,47,82, bowled               , ,
5, Mandeep Singh                , CJ Chibhabha          ,47,82, caught               , ['CT Mutombodzi'],
5, KM Jadhav                    , T Muzarabani          ,47,82, bowled               , ,
5, MK Pandey                    , T Muzarabani          ,47,82, caught               , ['DT Tiripano'],
