match_id,match_name,match_type,city,venue_id,venue,date,team_1,team_2,toss_winner,toss_decision,winner,result,player_of_match
1,Sri Lanka in Australia T20I Series,T20,,1,,2017-02-17,14,4,4,field,Sri Lanka,by 5 wickets,15
2,Sri Lanka in Australia T20I Series,T20,,2,Victoria,2017-02-19,14,4,4,field,Sri Lanka,by 2 wickets,15
3,Sri Lanka in Australia T20I Series,T20,,3,,2017-02-22,14,4,4,field,Australia,by 41 runs,9
4,Hong Kong in Ireland T20I Series,T20,,4,Londonderry,2016-09-05,11,54,54,bat,Hong Kong,by 40 runs,0
5,India in Zimbabwe T20I Series,T20,,5,,2016-06-18,82,47,47,field,Zimbabwe,by 2 runs,66
6,India in Zimbabwe T20I Series,T20,,5,,2016-06-20,82,47,82,bat,India,by 10 wickets,72
7,India in Zimbabwe T20I Series,T20,,5,,2016-06-22,82,47,82,field,India,by 3 runs,53
8,Bangladesh in New Zealand T20I Series,T20,,6,Napier,2017-01-03,24,66,66,bat,New Zealand,by 6 wickets,89
9,Bangladesh in New Zealand T20I Series,T20,,7,Mount Maunganui,2017-01-06,24,66,66,field,New Zealand,by 47 runs,90
10,Bangladesh in New Zealand T20I Series,T20,,7,Mount Maunganui,2017-01-08,24,66,66,field,New Zealand,by 27 runs,91
11,,T20,,8,Auckland,2017-02-17,24,10,24,field,South Africa,by 78 runs,115
12,South Africa in England T20I Series,T20,,9,Southampton,2017-06-21,64,10,10,bat,England,by 9 wickets,119
13,South Africa in England T20I Series,T20,,10,Taunton,2017-06-23,64,10,64,field,South Africa,by 3 runs,112
14,South Africa in England T20I Series,T20,,11,Cardiff,2017-06-25,64,10,10,field,England,by 19 runs,138
15,West Indies tour of England,T20,,12,Chester-le-Street,2017-09-16,28,64,64,field,West Indies,by 21 runs,146
16,England in India T20I Series,T20,,13,Kanpur,2017-01-26,47,64,64,field,England,by 7 wickets,153
17,England in India T20I Series,T20,,14,Nagpur,2017-01-29,47,64,64,field,India,by 5 runs,57
18,England in India T20I Series,T20,,15,Bangalore,2017-02-01,47,64,64,field,India,by 75 runs,59
19,West Indies v India T20I Series,T20,,16,Lauderhill,2016-08-27,47,28,47,field,West Indies,by 1 runs,140
20,West Indies v India T20I Series,T20,,16,Lauderhill,2016-08-28,47,28,47,field,,no result,0
21,Pakistan v West Indies T20I Series,T20,,17,,2016-09-23,80,28,80,field,Pakistan,by 9 wickets,183
22,Pakistan v West Indies T20I Series,T20,,17,,2016-09-24,80,28,28,field,Pakistan,by 16 runs,181
23,Pakistan v West Indies T20I Series,T20,,18,Abu Dhabi,2016-09-27,80,28,80,field,Pakistan,by 8 wickets,183
24,Trans-Tasman Twenty20 Trophy,T20,,19,,2018-02-03,24,14,14,field,Australia,by 7 wickets,10
25,Trans-Tasman Twenty20 Trophy,T20,,20,Hobart,2018-02-07,64,14,14,field,Australia,by 5 wickets,195
26,Trans-Tasman Twenty20 Trophy,T20,,1,,2018-02-10,64,14,14,field,Australia,by 7 wickets,199
27,Trans-Tasman Twenty20 Trophy,T20,,21,Wellington,2018-02-13,24,64,64,field,New Zealand,by 12 runs,89
28,Trans-Tasman Twenty20 Trophy,T20,,8,Auckland,2018-02-16,24,14,24,bat,Australia,by 5 wickets,193
29,Trans-Tasman Twenty20 Trophy,T20,,22,Hamilton,2018-02-18,64,24,24,field,England,by 2 runs,120
30,Trans-Tasman Twenty20 Trophy,T20,,8,Auckland,2018-02-21,24,14,24,bat,Australia,by 19 runs,198
31,Desert T20 Challenge,T20,,18,Abu Dhabi,2017-01-14,54,49,49,bat,Scotland,by 24 runs,207
32,Desert T20 Challenge,T20,,18,Abu Dhabi,2017-01-15,62,42,42,bat,Netherlands,by 5 wickets,217
