match_id, player1_id, player2_id, team_id, runs_scored_in_inning, balls_played_in_inning
1,1,2,14,76,63
1,1,3,14,10,6
1,4,3,14,30,22
1,5,3,14,37,21
1,5,6,14,0,1
1,6,7,14,9,5
1,6,8,14,6,2
1,12,13,4,5,6
1,14,12,4,74,47
1,15,14,4,12,11
1,15,16,4,60,39
1,17,16,4,1,2
1,17,18,4,20,15
2,1,2,14,18,16
2,23,2,14,45,24
2,2,4,14,50,40
2,4,3,14,8,6
2,5,4,14,13,10
2,6,4,14,10,6
2,4,7,14,18,9
2,4,8,14,7,6
2,11,4,14,4,2
2,24,4,14,0,1
2,12,13,4,5,5
2,14,12,4,17,9
2,25,14,4,5,7
2,15,14,4,13,5
2,15,16,4,0,1
2,17,15,4,52,48
2,15,18,4,27,17
2,15,21,4,41,23
2,15,20,4,16,5
3,1,2,14,79,51
3,23,2,14,49,33
3,2,3,14,51,26
3,2,4,14,1,1
3,5,4,14,2,3
3,6,4,14,2,2
3,4,7,14,3,4
3,14,13,4,41,22
3,25,14,4,27,23
3,15,14,4,1,4
3,15,16,4,7,8
3,17,16,4,15,13
3,26,16,4,0,2
3,18,16,4,29,17
3,21,16,4,18,10
3,21,20,4,2,5
3,19,21,4,6,4
4,28,27,54,41,28
4,29,27,54,56,42
4,30,29,54,10,9
4,29,31,54,24,18
4,31,32,54,21,13
4,31,33,54,17,10
4,39,38,11,5,9
4,39,40,11,5,8
4,39,41,11,14,13
4,41,42,11,0,2
4,43,42,11,59,42
4,44,43,11,31,18
4,43,45,11,8,8
4,46,45,11,3,7
4,47,46,11,2,4
4,48,47,11,2,6
5,60,61,82,33,27
5,60,62,82,1,5
5,60,63,82,16,10
5,64,63,82,47,34
5,65,63,82,1,3
5,65,66,82,13,12
5,67,66,82,19,12
5,66,68,82,40,17
5,49,50,47,0,1
5,51,50,47,44,34
5,52,50,47,9,11
5,53,52,47,37,28
5,52,54,47,53,30
5,55,54,47,21,12
5,54,56,47,4,4
6,60,61,82,14,17
6,61,73,82,12,9
6,73,63,82,2,3
6,65,73,82,0,1
6,64,73,82,29,37
6,66,73,82,18,21
6,67,66,82,6,9
6,67,68,82,2,3
6,67,70,82,8,16
6,70,69,82,8,4
6,49,50,47,103,79
7,49,50,47,20,19
7,51,49,47,7,8
7,51,52,47,0,1
7,51,53,47,49,49
7,53,54,47,17,21
7,55,53,47,29,16
7,55,71,47,16,6
7,60,61,82,17,16
7,61,74,82,40,37
7,73,74,82,3,10
7,64,73,82,26,20
7,66,64,82,18,20
7,66,75,82,31,17
8,78,77,66,5,9
8,79,77,66,23,19
8,79,80,66,2,3
